plant_id,plant_species_name,common_name,plant_desc
83,Rhododendron,Rhododendron,"PJM Group is a series of rhododendron hybrids that resulted from crosses between R. carolinianum and R. dauricum var. sempervirens. These hybrids are compact, rounded, small-leaved, evergreen shrubs that generally grow to 3-6' tall and are noted for having exceptional winter hardiness."
84,Betula nigra,River Birch,"Has leathery, diamond-shaped, medium to dark green leaves with doubly toothed margins turn yellow in Fall. Monoecious flowers appear in drooping, brownish male catkins and smaller, upright, greenish female catkins. It will also exfoliate to reveal lighter inner bark."
85,Rose,Rosa,"A rose is a woody perennial flowering plant of the genus Rosa, in the family Rosaceae, or the flower it bears. There are over three hundred species and tens of thousands of cultivars. They form a group of plants that can be erect shrubs, climbing, or trailing, with stems that are often armed with sharp prickles."
86,Juniperus Sabina,Savin Juniper,"Juniperus Sabina, commonly known as Savin Juniper, is a shrubby evergreen conifer that is native to mountain areas of central and southern Europe to the Caucusus. Foliage is dark green and does not turn purple in winter. The foliage gives off a fetid smell when crushed. Male plants produce catkin-like pollen cones and female plants produce fleshy, berry-like, bluish-black seed cones."
87,Equisetum hyemale,Scouringrush Horsetail,"Equisetum hyemale, commonly called Scouringrush Horsetail, is a non-flowering, rush-like, rhizomatous, evergreen perennial which typically grows 3-5' tall and is native to large portions of Eurasia, Canada and the U.S. It has bamboo-like, dark green stems. Each stem has a ring of black and ash gray sheaths at each joint (node). This plant reproduces by spores, which are contained in pine cone-like fruiting heads at the tips of the vegetative stems. "
88,Scilla siberica,Siberian squill ,"Siberian Squill was brought to this country as an ornamental and is still sold in Minnesota and elsewhere, but it has also escaped into the wild and become invasive. Scilla siberica produces 3-4 thin scapes (3-6"" high) with 1-3, drooping, bell-like, deep blue flowers with blue anthers per scape. Flowers appear in early spring shortly after Galanthus (snowdrops)."
89,Celosia argentea,Silver Cock's Comb,"Celosia Argentea, commonly known as the silver cock's comb, is an upright tender perennial. It has plume-like inflorescences that are purplish-pink fading to pale pink. Flowers bloom from late spring until frost. Attracts birds, hummingbirds, and butterflies. "
90,Galanthus nivalis,Snowdrop,"Galanthus nivalis, or Snowdrop, is a bulbous perennial native to Europe and southwestern Asia. They bloom from late February to late March, even if snow is present. When the bloom opens, three outer petals arch out over three inner petals. The flower can cause low toxicity if eaten in quantity."
91,Polygonatum odoratum,Solomon's Seal ,"Polygonatum odoratum, commonly called fragrant Solomon's seal, is a rhizomatous, shade-loving perennial that typically grows to 18-24” tall on low, gracefully arching, angled, unbranched stems.  It is native to shaded slopes and woodland areas in temperate regions of Europe and Asia. Flowers bloom late spring to early summer (May-June). Flowers are followed by attractive pendulous blue-black berries (each 1/4"" diameter) in fall which hang downward from the leaf axils."
92,Magnolia grandiflora,Southern Magnolia,"Magnolia grandiflora is a broadleaf evergreen tree that is noted for its attractive dark green leaves and its large, extremely fragrant flowers. It is native to moist wooded areas in the southeastern United States from North Carolina to Florida and Texas. Flowers bloom in late spring, with sparse continued flowering throughout the summer. Flowers give way to spherical cone-like fruiting clusters that mature in late summer to early fall, releasing individual rose-red coated seeds suspended on slender threads at maturity."
93,Cleome hassleriana,Spider Flower,"Cleome hassleriana, commonly called Spider Flower, is a fast-growing annual plant that is native to Paraguay, Argentina, Uruguay, and southern Brazil. The flowers have a sweet fragrant and long stamens that portrude out which give them a spider like-look. Blooms come in shades of pink, purple, or white. Attractive to butterflies, hummingbirds, and birds. "
94,Euphorbia sp.,Spurge,"Euphorbia is a perennial that is the genus of a large number of species commonly called spurge. Euphorbias flowers are usually tiny and nondescript although in many species, the bracts around the individual flowers can be showy. All species of spurge have a milky plant sap of low toxicity that can irritate skin or open wounds and can cause nausea or vomiting if other parts of the plant are ingested. "
95,Magnolia stellata,Star Magnolia,"Magnolia stellata, commonly called star magnolia, is native to Japan. It is a small deciduous tree that typically grows 15-20' tall with a spreading, rounded crown. It is also often grown as a large oval to rounded shrub."
96,Sedum telephium 'Autumn Joy',Stonecrop,"Autumn Joy is a clump-forming perennial that features masses of tiny, star-like flowers which emerge pink, gradually changes to deep rose-red and then coppery-rust in autumn as they die. It is commonly called Stonecrop because it's frequently sighted to be growing on rocks or on stony ledges in the wild. These are very attractive to butterflies throughout the growing season. "
97,Puschkinia scilloides ,Striped Squill,"Puschkinia scilloides, commonly called striped squill, grows in a small clump to 4-6” tall. Each bulb typically produces two dark green strap-shaped leaves and a flower scape bearing 3-6 pale blue star-like flowers in a loose terminal raceme. Each flower petal has a blue inside center stripe, though some entirely white-petaled forms may be found. Flowers are fragrant. Blooms late winter to early spring."
98,Hibiscus moscheutos,Swamp Mallow,"Hibiscus moscheutos, commonly known as swamp rose mallow, is a tall, shrubby, woody-based perennial boasting huge hollyhock-like flowers. The petals come in white, rose, or pink with reddish-purple to dark crimson bases. Each flower has a conspicuous, portruding, creamy-white to pale yellow staminel column. The flowers are attractive to hummingbirds, butterflies, and bees. "
99,Clematis paniculata,Sweet Autumn Clematis,"Clematis paniculata, commonly called Sweet Autumn Clematis, is a very large deciduous climber with masses of starry creamy-white flowers. They are native to Japan and China. Blossoms come in large amounts which tend to cover the dark green leaves. The flowers have a sweet fragrance which is described as a mixture of sugar, honey, and vanilla. "
100,Anemone coronaria 'The Governor',The Governor Wind Flowers,"Anemone coronaria 'The Governor' features massses of cheerful, cardinal-red, poppy-like, double flowers adorned with a dark button center. Blooms in mid to late spring and last for up to 4 weeks. Eating may cause mild stomach upset, and skin contact may cause irritation. "
101,Coreopsis ' Mercury Rising',Tickseed,"Coreopsis ' Mercury Rising', commonly called Tickseed, is a perennial that produces large velvety-red flowers with a bright golden center. The petal tips are slightly creamy-white. Attracts butterflies. "
102,Lilium lancifolium,Tiger Lily,"Lilium lancifolium or Tiger Lily have bright orange-colored flowers covered with black or deep crimson spots that resemble the skin of a tiger, hence its name Tiger Lily. They are native to China and Japan."
103,Capsicum frutescens,Tobasco Pepper,"Tobasco Pepper is a variety of the chili pepper species Capsicum frutescens originating in Mexico. It is best known through its use in Tabasco sauce. The peppers are named after the Mexican state of Tabasco. The exact origin of Capsicum Frutescens is unclear. However, it is believed to have originated in South or Central America. "
104,Liriodendron tulipifera,Tulip Tree,"Liriodendron tulipifera, commonly called tulip tree or yellow poplar, is a large, stately, deciduous tree of eastern North America.  It is named and noted for its cup-shaped, tulip-like flowers that bloom in spring. Flowers are yellow with an orange band at the base of each petal. Although the flowers are 2” in length, they can go unnoticed on large trees because the flowers appear after the leaves are fully developed. lowers are followed by dry, scaly, oblong, cone-shaped brown fruits, each bearing numerous winged seeds"
105,Tulipa & Narcissus,Tulips & Daffodils,"Tulipa is a genus of about 100 species of perennial bulbs found from sea level to alpine areas in Europe, The Middle East and Asia. They are popular spring flowers that come in nearly all colors except true blue. It has various shapes but is usually a cup with a teardrop form. Narcissus is a genus of about 50 species of bulbous perennials from Europe and North Africa. Flowers generally feature a trumpet or cup (the corona) surrounded by six petals, in colors ranging from white to yellow to orange to pink to bicolors. Flowers bloom in early spring and are sometimes fragrant. "
106,Lupinus pereninis,Wild Lupine ,"The Lupinus pereninis (Wild Lupine) was once thought to deplete or wolf the mineral content of the soil; hence the genus name derived from the Latin lupus (wolf). Actually the plant and all the family enhances soil fertility by fixing atmospheric nitrogen into a useful form. Flowers bloom from mid-spring to mid-summer. They are rich in nectar and are attractive to butterflies, hummingbirds, and many pollinators. The flowers are followed by hairy seed pods, which ripen in midsummer. "
107,Cotoneaster salicifolius,Willowleaf Cotoneaster,"Cotoneaster salicifolius, commonly called Willowleaf Cotoneaster, is an evergreen shrub that is native to China, Tibet. "
108,Daphne odora,Winter Daphne,"Daphne odora, commonly called winter daphne because of its late winter flowers, is a broadleaf evergreen shrub that is native to China and Japan. It features intensely fragrant reddish-purple flowers with pale pink to white insides in terminal inflorescences. Flowers bloom in late January to March in USDA Zones 8-9, but in March-April in USDA Zone 7. Flowers are followed by red fruits in July-August, but fruits are infrequently produced on cultivated shrubs. They are extremly poisonous to humans."
109,Corylopsis pauciflora,Winter Hazel,"Corylopsis pauciflora, commonly called buttercup winter hazel, is native to western Japan and Taiwan. It is a dense, spreading, multi-stemmed, deciduous shrub that typically grows 4-6' tall and features small drooping clusters (racemes to 1 1/4” long) of mildly fragrant primrose yellow flowers in early spring. Flowers appear before the leaves unfold and the fruit is an inconspicuous two-beaked capsule, with each cell containing two small seeds. Buttercup is in reference to the fragrant yellow flowers."
110,Jasminum nudiflorum,Winter Jasmine,"Jasminum nudiflorum, commonly called winter jasmine, is a trailing, viny shrub that grows from a central crown. Non-fragrant, bright yellow flowers bloom along the stems in late winter before the leaves. In China, this plant is often called ""Yingchun"" which means ""flower that welcomes spring"""
111,Chimonanthus praecox,Wintersweet,"Chimonanthus praecox, commonly known as wintersweet or Japanese allspice, is a deciduous shrub that's native to forested areas of China. Fragrant flowers bloom in winter (December to January) usually on leafless branches, but sometimes, particularly in warm climates, on branches clad with a few persisting leaves. Leaves are lance-shaped, green & deciduous with mild gold fall color before dropping."
112,Hamamelis x intermedia'Diane',Witch Hazel,"Hamamelis × intermedia hybrids are crosses between Japanese witch hazel (H. japonica) and Chinese witch hazel (H. mollis).  They are particularly noted for their spidery, often fragrant, mid- to late winter flowers which appear before the spring foliage emerges."
113,Achillea millefolium,Yarrow,"Achillea millefolium, commonly called common yarrow, is a rhizomatous, spreading, upright to mat-forming perennial that is considered by many to be an aggressive weed. Common yarrow from Europe and Asia was originally introduced to America in colonial times, and has since naturalized throughout the U. S. primarily along roadsides, fields, waste areas and lawns. These species plants are noted for producing deeply-dissected, fern-like, aromatic, medium green foliage and tiny, long-lasting, white flowers that appear in dense, flattened, compound corymbs throughout the summer.  Foliage has a strong, somewhat spicy aroma that persists when used in dried arrangements. "
114,Zinnia marylandica 'Zahara Starlight',Zinnia,"Zinnia Zahara Starlight Rose bloom in spring and summer. The flowers are large and white with rose stripes. These are attractive to bees, butterflies, and birds. "
